Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.60074465808154,2.72454336394854,1.45131466009755,2.26031420130452,2.64700320195786,1.18922812838034,3.911603419423,-2.35110067344623,-20.6999999939715,..
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.00252214522922,-0.964803329240652,-1.66641641520391,-0.345802496981889,-0.253593781811986,-1.68857659267114,0.932833388709597,-5.3646659309623,-22.9291944307147,..
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.123668031216,58.2769881790166,58.2769881790166,58.7415482268525,58.7415482268525,..
Afghanistan,AFG,"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Children out of school (% of primary school age),SE.PRM.UNER.ZS,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.478,7.395,7.331,7.077,7.027,6.981,6.791,7.113,7.344,..
Afghanistan,AFG,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,81.1480026245117,80.696907043457,80.4073333740234,..,..,..,..,..,..,..
Afghanistan,AFG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.80596447,9.52887821,10.10534763,11.81859016,12.62081718,14.20841891,14.8313194,15.53361392,16.82606226,..
Afghanistan,AFG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,94.29,101.67,95.99,102.34,100.02,96.07,112.55,118.09,113.74,..
Afghanistan,AFG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,17.118,18.088,19.096,20.141,21.227,21.583,21.944,16.463,..,..
Afghanistan,AFG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,18.2305625264621,19.2184240109243,20.2447905876726,21.3078663997887,22.418111741921,22.7587258553602,23.0993640510176,19.793486147683,..,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575,61.982,..
Afghanistan,AFG,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,4.92229572461484,4.45392359091823,4.40423184519823,4.26603578550222,3.65965934813299,3.56534676070181,3.46636972274314,3.13021000603877,..,..
Afghanistan,AFG,Number of infant deaths,SH.DTH.IMRT,69836,68786,68040,66650,64828,63723,62760,61872,61247,..
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.00201754071108,1.77444885260394,2.21872637517804,3.31498068384137,3.80259872019053,4.01934561695576,2.08771199649604,-3.30208203862541,8.90852781831182,4.84423589539303
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.18723435286199,1.98538809180384,2.51682705417127,3.48029321671386,3.89811226746693,4.27631155105293,2.52354084280566,-2.74523867757104,9.92271370805365,6.2052753940383
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,43.3321167883212,42.857299270073,42.8576642335766,43.1277372262774,42.8569708029197,42.8496715328467,42.8467153284672,42.538503649635,41.471897810219,..
Albania,ALB,"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Children out of school (% of primary school age),SE.PRM.UNER.ZS,0.371250003576279,..,..,1.14976000785828,1.70673000812531,1.64471995830536,2.10774993896484,3.3986599445343,6.18711996078491,9.20401954650879
Albania,ALB,"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,..,..,..,..,..,..,..,5.43826007843018,8.35260963439941,11.4745302200317
Albania,ALB,"Children out of school, male (% of male primary school age)",SE.PRM.UNER.MA.ZS,..,..,..,..,..,..,..,1.43552994728088,4.08584022521973,6.98053979873657
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.819,7.868,7.947,8.035,8.15,8.308,8.48,10.785,11.325,..
Albania,ALB,"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,91.4131622314453,..,91.9454193115234,91.6376113891602,91.7005386352539,93.8843688964844,86.8448181152344,88.5907974243164,..,..
Albania,ALB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.27234411,6.44164276,6.48361206,6.66606188,6.54604626,6.65958786,..,..,..,..
Albania,ALB,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,95.62,96.82,100.07,103.11,103.9,106.08,104.11,105.77,103.44,..
Albania,ALB,Gini index,SI.POV.GINI,..,34.6,32.8,33.7,33.1,30.1,30.1,29.4,..,..
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,43.66,43.818,46.989,49.763,49.609,51.284,52.815,49.62,51.653,52.27
Albania,ALB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,41.853022134632,41.1951182619357,42.5029216344644,43.5769646892468,42.8743087113443,43.3927042143794,43.942236030046,43.8228638899382,44.1211346534367,44.3100722902728
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989,76.463,..
Albania,ALB,Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,0.0125489214424251,0.0121944108705016,0.0119680335644323,0.0115838902440248,0.0116446494073366,0.00756188140993408,0.00738837722347836,0.0114917402486135,..,..
Albania,ALB,Number of infant deaths,SH.DTH.IMRT,330,311,293,277,265,256,250,249,247,..
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.8,3.80000000016804,3.69999999958893,3.20000000006691,1.29999999991843,1.20000000049063,0.999999999741789,-5.10000000018678,3.40000000034198,3.09999999986282
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.797967812424986,1.76594123137923,1.6466572591571,1.16314757745835,-0.663171193402832,-0.707950481173555,-0.840856657898996,-6.72994165075228,1.70006376741448,1.43477676478558
Algeria,DZA,Agricultural land (% of land area),AG.LND.AGRI.ZS,17.3955322579291,17.3952656461243,17.4059228102468,17.3655321884285,17.3550108093197,17.3565679895505,17.347004145287,17.347004145287,17.347004145287,..
Algeria,DZA,"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS,6.48955221272624,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS,8.46683524603521,..,..,..,..,..,..,..,..,..
Algeria,DZA,Children out of school (% of primary school age),SE.PRM.UNER.ZS,0.427540004253387,0.422010004520416,0.349510014057159,0.411570012569427,0.239820003509521,0.127820000052452,0.123769998550415,0.301530003547668,0.196449995040894,0.628679990768433
Algeria,DZA,"Children out of school, female (% of female primary school age)",SE.PRM.UNER.FE.ZS,..,..,..,..,..,..,..,..,..,..
